,0,1,2,3
BoomerKuwanger.mid,127.99583333333108,E,minor,150
ff2world.mid,234.64059999998793,A,minor,140
Drahkken_Neo_Remix.mid,192.38229166666667,G,minor,120
luf2dungeon.mid,135.2540839999987,B,minor,236
07_Flower_Garden_XG.mid,176.3477819999976,E,minor,115
29-Station4.mid,64.07979703124975,E,minor,180
Yoshis_Island_Credits.mid,233.39712600000416,C,major,120
FE4-Chapter8.mid,95.26711999999974,C,minor,131
Trad-Thunder.mid,195.55535999999748,A,minor,162
ff3unfor.mid,119.49748200000296,B-,major,64
FrontMissionGunHazard_Resistence.mid,102.85188996666047,G,major,98
sbb2-05.mid,59.99008326249678,C#,minor,25
EpochEnd.mid,102.29502399999951,G,major,122
rf-Magicma2.mid,234.24000000000325,A-,major,125
door_of_destiny.mid,83.64999999999962,B-,major,120
ff2lsub.mid,179.15484000000274,F,minor,142
ff5air.mid,118.78000000000169,F,minor,125
MegaManX3_IntroStage.mid,168.3241559999971,G,minor,185
smrpgbooster1.mid,166.92387131249953,F,major,115
Spook_Mansion.mid,45.75,C,major,160
FFMQBoneDungeon-SC8850.mid,126.09435999999995,F#,minor,118
Cloud_Man.mid,200.7980649749992,G,minor,160
mm3_chapter5.mid,163.15813879583558,D,minor,240
sftitania.mid,146.32764613332992,C,minor,129
SNES_Metal_Max_2_Final_Battle.mid,236.3634000000119,E-,minor,132
fls_blackknight.mid,105.3416666666671,C,minor,240
ff312.mid,65.55209100000008,A-,major,75
SailorMoonSSF_ed1.mid,51.69802522500002,D,minor,130
Zelda3_Epilog_Theme.mid,227.89183855833323,C,major,122
DemonsCrest-Level1.mid,73.99999999999993,A-,major,120
arcana_balnia.mid,111.41787308541338,C#,minor,120
Toxicseahorse.mid,43.649768031250176,E-,minor,181
TOPMintByCryogen.mid,106.90918000000049,F,minor,109
FF4_-_The_Final_Battle.mid,153.33318000000062,G,minor,90
OCTO.mid,91.01342249999834,G,minor,148
T_AVGFighter_KyaraSelect.mid,117.12000000000037,G,major,125
smas_smb_underwater.mid,109.89457200000003,C,major,190
bofworld3.mid,190.80867866667126,A,minor,120
MyHomeSweetHome.mid,138.3505919999993,E,minor,124
Terranigma_Remix.mid,151.27257600000465,G,minor,165
sbleopainting.mid,109.21631500000012,G,minor,217
cv5stg5b.mid,79.02981650000171,D,major,134
Haunted_House.mid,181.41696000000206,G,minor,127
LightWorldOvertureXG.mid,83.11530150000016,B-,minor,130
T_AVGFighter_Intro_MaliceX_Version.mid,38.66662800000017,C,major,180
antarctic.mid,96.0788032499993,A-,major,190
returner.mid,165.5171200000031,D,minor,116
3-07-SearchingForFriendsXG-v1.1.mid,293.75999999998993,A,major,125
ct_bossbattle2.mid,142.7996429999954,G,minor,120
(KoD)_Boss_4.mid,42.0,C,minor,80
FMGH_Warning2XG.mid,197.3192471250045,C,major,180
ctschala1.mid,90.68731341041014,B-,minor,100
Credits2.mid,129.33320400000636,E,minor,180
bumpty.mid,82.05878249999947,B,major,170
t_ogre14.mid,97.01097600000091,C,minor,85
mn-Yamashiro.mid,62.95078400000038,B,major,122
lv2w4.mid,76.2856379999993,G,major,140
sd3_splashhop.mid,131.19999999999837,A,major,150
Talakstg.mid,206.54802577500328,A,major,132
The_Forbidden_Castle.mid,141.17631999999904,E,minor,136
rudora_in_the_mirror.mid,72.27265500000034,B-,minor,132
SailorMoonR_intro1.mid,138.0624999999995,C,minor,120
figaro4.mid,141.74431616666632,F#,minor,90
Intodark.mid,130.905172125002,F#,major,132
Kirby_3_End.mid,236.9621279999933,F,major,78
DKC_-_Voices_of_the_Temple.mid,192.00000000000003,C,minor,60
luf1title.mid,64.08824600000051,A,major,244
dkc3tree.mid,143.42961486249845,C,minor,430
zb_smw_rockworld2_2.mid,105.61562587500246,C,major,134
Junkman.mid,114.86608999999854,A,minor,187
Lennus2_Throne_of_the_Immortals_Xg.mid,191.5315031916584,A,minor,103
mute.mid,121.24999999999993,C,minor,192
Warios_Woods_Versus.mid,228.0,C,major,160
ninja_warriors_-_last_boss.mid,195.0,C,major,160
1-11-SecretOfTheForest.mid,275.67573999999513,B-,minor,73
incolony_v1-1.mid,135.24310800000274,E,minor,185
FFMQIcePyramid.mid,245.00000000000156,D,minor,96
luf1them.mid,66.0,C#,minor,120
luf1reunion.mid,174.0,A,major,80
luf1attack.mid,130.0,B,minor,120
SD3Menace.mid,177.0,A,minor,80
TN_-_Leim's_Test.mid,150.28463999999974,C,minor,131
lvtitle.mid,32.99996699999995,F,minor,140
SuperSoccerCameroon.mid,63.52934400000097,A,major,136
emperor.mid,103.95000000000037,G,major,100
BL_tmnttf_realized.mid,58.10416666666706,A,minor,120
X-Hunter_Stage_1&2.mid,52.074999999999925,B,minor,125
mtkoltz2.mid,143.3332760000021,F,minor,72
Drakkhen_Earth_Night.mid,203.12569895000078,C,major,77
HM_-_Harvest_Festival.mid,121.57895749999831,A-,major,94
rs2_village1.mid,77.57960566666783,A-,major,120
ThomasAndBertiesGreatRaceAllPages.mid,241.25504675001088,G,major,57
Evovctry.mid,166.74769237500092,F,major,118
05-MaverickSelect.mid,46.05512403125073,A,minor,170
frenzy.mid,170.86952250000377,D,major,115
lufia2_savior.mid,143.8522344999993,C#,minor,240
HNK_KNKN_-_Bridge_Battle_Theme.mid,101.05267199999788,B-,major,75
FF6_Opera_Xg.mid,144.41429732499984,B,minor,85
LagCastl.mid,108.16650330208205,A,minor,284
marpgbow.mid,51.69225599999984,D,minor,130
ctspekio.mid,81.70746314999887,F,major,93
dracXintro.mid,84.06000000000131,F,major,250
somSei2-18x.mid,243.53861062501224,D,minor,120
bs_furis.mid,230.630859375,C,minor,240
Zelda3_Boss_Theme.mid,53.48854914166582,A,major,175
dw5_opening.mid,107.02083199999993,D,minor,120
sbleolab.mid,128.7396056666692,B-,minor,123
luf2sea.mid,110.94325200000038,C,minor,106
terra_runrun.mid,41.82535500000012,G,major,189
ff348.mid,46.19097600000035,C,minor,83
Dk1water.mid,160.00000000000404,G,minor,75
smrpgmariospad.mid,98.60867100000172,E,major,115
sbmap.mid,130.9088879999967,D,minor,121
snesDKC3_HotPersuit.mid,207.3599999999905,C#,major,125
corneria.mid,69.60056466666688,F,major,300
ff4-1.mid,270.40999999997604,E-,minor,150
SBomb3-Map1.mid,80.8421119999988,C,major,94
dl_title.mid,75.90339731875076,B,minor,240
SF_Corneria-KMv2.mid,186.39496250000343,G,minor,167
yi-bowser.mid,152.02655300000018,A,minor,125
ranking.mid,49.55123249999996,A-,major,156
Battle_2.mid,99.25859587500152,E-,minor,145
sheep_shamble.mid,105.59999999999988,G,minor,100
empire_lev1-xg.mid,73.71633632500338,C,minor,104
Ffmqbttl.mid,142.02142230208062,B,minor,157
ssf2cammy(late_remix).mid,134.41375950000096,E-,minor,145
jrlepage_smw2stag1_SBLive.mid,47.5,G,minor,96
Kung_Fu_Chapter_-_Inheritance_-_Main_Theme.mid,39.876948000000226,G#,minor,162
snesCrush_CrawfishV1.1.mid,74.39687499999924,C,minor,200
End_Theme.mid,54.63446909999958,A,minor,145
GokujyoParodius_StageSpecial.mid,162.37281600000276,A,minor,60
Beware_of_the_mushroom_forest-1.mid,56.031778249999576,F#,minor,94
Axelay_select.mid,93.79211822500135,E-,minor,117
Boss_Fight_1.mid,65.95415999999976,F,major,131
Balstan3.mid,79.28258887500103,A,minor,115
Smkdonut.mid,55.357087499999494,B-,major,126
FF5_a08.mid,39.42406771874979,C,minor,140
Pirates_ahoy.mid,100.82347900000104,A,minor,85
ChillPenguin.mid,82.28116771874862,E-,major,140
RDream-UnderMoonlight.mid,242.0000000000003,A,minor,120
